City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1864,Butaritari,KI,28.03000000000003,light rain,3.0707,172.7902,Isles Sunset Lodge
1867,Kapaa,US,28.180000000000007,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
1869,Avarua,CK,27.03000000000003,scattered clouds,-21.2078,-159.775,Paradise Inn
1870,Kavieng,PG,28.689999999999998,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
1879,Dingle,PH,27.32000000000005,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
1894,Hithadhoo,MV,27.810000000000002,broken clouds,-0.6,73.0833,Scoop Guest House
1902,Santa Cruz de la Sierra,BO,26.700000000000045,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
1912,Kourou,GF,26.730000000000018,broken clouds,5.1552,-52.6478,Lodge Takini 4
1920,Alofi,NU,26.939999999999998,broken clouds,-19.0595,-169.9187,Taloa Heights
1922,Dicabisagan,PH,28.900000000000034,few clouds,17.0818,122.4157,Nancy Montanes Bernardo
1927,Wamba,NG,25.510000000000048,light rain,8.9333,8.6,Roma Zee Guest House Annex
1928,Ha Giang,VN,26.52000000000004,overcast clouds,22.8333,104.9833,Truong Xuan Ecolodge
1931,‘Āhuimanu,US,29.840000000000032,few clouds,21.4447,-157.8378,Paradise Bay Resort
1935,Jérémie,HT,27.27000000000004,scattered clouds,18.65,-74.1167,Auberge’Inn
1938,Ca Mau,VN,25.53000000000003,broken clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
1941,Bathsheba,BB,27.340000000000032,scattered clouds,13.2167,-59.5167,Atlantis Hotel
1952,Kapaa,US,28.180000000000007,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
1959,Lorengau,PG,27.900000000000034,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
1973,Butaritari,KI,28.03000000000003,light rain,3.0707,172.7902,Isles Sunset Lodge
1984,‘Ewa Beach,US,28.939999999999998,few clouds,21.3156,-158.0072,Uncle Junior Robert
1987,Puerto Ayora,EC,26.980000000000018,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
1988,Kavaratti,IN,28.220000000000027,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
1999,Faanui,PF,26.650000000000034,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
